CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2537028;150815;6;28;12;0;1;11;0;0
2314002;150820;7;15;7;0;0;6;0;0
4006429;150830;8;24;12;2;0;21;0;0
2616181;150835;8;15;4;1;0;4;0;0
2621592;150840;7;33;11;0;1;10;0;0
2621606;150840;0;0;0;0;0;0;0;0
2672111;150840;3;10;3;0;0;4;0;0
2021382;160005;0;16;4;0;0;10;0;0
2019701;160010;0;20;6;0;0;11;0;0
2021218;160015;0;8;2;0;0;5;0;0
2019728;160020;1;10;4;5;0;5;0;0
2019663;160023;0;6;3;0;0;3;0;0
2020076;160027;14;19;13;0;0;12;0;0
2019647;160030;3;0;0;9;4;127;5;5
2020068;160030;0;10;85;0;0;14;24;16
2020645;160030;75;68;0;6;14;0;0;4
2020653;160030;33;57;0;1;2;1;4;4
2020890;160030;30;1;25;0;0;18;0;8
2021811;160030;0;0;0;0;0;0;0;0
9835520;160030;0;0;0;0;0;0;0;0
2020165;160040;0;6;3;0;0;5;0;0
2021463;160050;5;15;11;0;0;10;0;0
2019736;160053;5;19;4;0;0;6;0;0
2021064;160060;8;19;22;0;0;44;0;0
2021765;160060;0;0;0;0;0;0;0;0
2019671;160070;0;10;3;0;0;5;0;0
2020149;160080;0;5;1;0;0;2;0;0
3385205;170070;6;8;4;0;0;5;0;0
2555956;170100;4;1;4;0;0;5;0;0
2765632;170190;3;7;4;0;0;3;0;0
2546671;170200;4;10;6;1;0;7;0;0
2600536;170210;148;97;1;0;2;1;0;26
2651343;170210;0;0;0;0;0;0;0;0
2755165;170210;8;4;83;0;0;5;26;28
3654826;170210;0;37;0;0;0;9;2;0
3663051;170210;9;1;0;0;0;45;0;10
7998864;170210;0;0;0;0;0;0;0;0
2469499;170220;2;9;5;0;0;9;0;0
